longitude,latitude,label,start_date,end_date
-55.9643,-10.0621,Pasture,2005-09-14,2006-08-29
-54.554,-10.3749,Pasture,2013-09-14,2014-08-29
-52.4572,-10.9512,Pasture,2013-09-14,2014-08-29
-52.1443,-13.9981,Pasture,2013-09-14,2014-08-29
-57.6907,-13.3382,Pasture,2015-09-14,2016-08-28
-54.7034,-16.4265,Pasture,2015-09-14,2016-08-28
-53.6543,-15.7155,Pasture,2014-09-14,2015-08-29
-56.7898,-11.4209,Pasture,2011-09-14,2012-08-28
-55.0254,-10.0669,Pasture,2013-09-14,2014-08-29
-55.2219,-15.6638,Pasture,2015-09-14,2016-08-28
-55.3344,-12.3212,Pasture,2014-09-14,2015-08-29
-52.4244,-15.8492,Pasture,2013-09-14,2014-08-29
-52.296,-14.5021,Pasture,2013-09-14,2014-08-29
-56.4659,-14.3062,Pasture,2014-09-14,2015-08-29
-55.0574,-14.2136,Pasture,2003-09-14,2004-08-28
-54.3523,-15.7024,Pasture,2015-09-14,2016-08-28
-51.8127,-12.9071,Pasture,2013-09-14,2014-08-29
-59.0879,-15.2475,Pasture,2002-09-14,2003-08-29
-52.2846,-14.8633,Pasture,2014-09-14,2015-08-29
-55.3012,-11.2152,Pasture,2013-09-14,2014-08-29
-52.2087,-15.1112,Pasture,2013-09-14,2014-08-29
-51.8678,-12.9663,Pasture,2013-09-14,2014-08-29
-56.7898,-11.4209,Pasture,2012-09-13,2013-08-29
-52.3999,-11.1348,Pasture,2013-09-14,2014-08-29
-52.2933,-15.7941,Pasture,2013-09-14,2014-08-29
-54.5348,-16.5734,Pasture,2015-09-14,2016-08-28
-55.9323,-14.5852,Pasture,2014-09-14,2015-08-29
-52.3452,-11.2405,Pasture,2013-09-14,2014-08-29
-55.0997,-14.2091,Pasture,2005-09-14,2006-08-29
-52.8096,-15.6518,Pasture,2014-09-14,2015-08-29
-55.9432,-14.6907,Pasture,2011-09-14,2012-08-28
-56.518,-15.1165,Pasture,2015-09-14,2016-08-28
-51.5718,-12.603,Pasture,2014-09-14,2015-08-29
-59.808,-14.3551,Pasture,2002-09-14,2003-08-29
-51.8894,-13.0101,Pasture,2013-09-14,2014-08-29
-56.3055,-13.4345,Pasture,2015-09-14,2016-08-28
-52.1806,-15.1645,Pasture,2013-09-14,2014-08-29
-57.5687,-14.366,Pasture,2014-09-14,2015-08-29
-55.0574,-14.2136,Pasture,2008-09-13,2009-08-29
-51.7805,-12.748,Pasture,2013-09-14,2014-08-29
-55.0312,-14.2294,Pasture,2004-09-13,2005-08-29
-52.4571,-10.9237,Pasture,2013-09-14,2014-08-29
-59.808,-14.3551,Pasture,2011-09-14,2012-08-28
-54.3989,-10.453,Pasture,2014-09-14,2015-08-29
-56.6465,-13.8453,Pasture,2015-09-14,2016-08-28
-60.4875,-13.0058,Pasture,2012-09-13,2013-08-29
-59.8262,-14.363,Pasture,2012-09-13,2013-08-29
-52.4576,-10.9625,Pasture,2013-09-14,2014-08-29
-54.9797,-10.2289,Pasture,2014-09-14,2015-08-29
-55.9472,-10.0801,Pasture,2006-09-14,2007-08-29
-52.9263,-15.5581,Pasture,2013-09-14,2014-08-29
-52.2688,-14.4528,Pasture,2013-09-14,2014-08-29
-60.4827,-12.988,Pasture,2008-09-13,2009-08-29
-51.925,-13.161,Pasture,2014-09-14,2015-08-29
-52.2098,-15.1053,Pasture,2013-09-14,2014-08-29
-52.7058,-10.8094,Pasture,2014-09-14,2015-08-29
-54.0808,-10.4529,Pasture,2013-09-14,2014-08-29
