longitude,latitude,label,start_date,end_date,cube,time_series
-55.9643,-10.0621,Pasture,2005-09-14,2006-08-29,mod13q1-6.1,"{""Index"": [""2005-09-14"", ""2005-09-30"", ""2005-10-16"", ""2005-11-01"", ""2005-11-17"", ""2005-12-03"", ""2005-12-19"", ""2006-01-01"", ""2006-01-17"", ""2006-02-02"", ""2006-02-18"", ""2006-03-06"", ""2006-03-22"", ""2006-04-07"", ""2006-04-23"", ""2006-05-09"", ""2006-05-25"", ""2006-06-10"", ""2006-06-26"", ""2006-07-12"", ""2006-07-28"", ""2006-08-13"", ""2006-08-29""], ""NDVI"": [4475, 3910, 3584, 4295, 5722, 5743, 6489, 7630, 7343, 7170, 6902, 5794, 6059, 5958, 5939, 7162, 6448, 6487, 7268, 7041, 6919, 5380, 4664], ""EVI"": [2626, 2381, 2281, 2483, 3494, 3355, 4003, 5069, 4619, 5681, 4394, 4137, 4550, 3975, 3679, 4555, 4117, 4326, 4091, 4852, 4335, 3174, 2746], ""NIR_reflectance"": [2409, 3610, 3954, 2603, 2541, 3133, 2854, 2673, 3142, 5626, 3495, 3595, 4326, 4242, 3166, 3686, 3339, 3045, 2671, 2707, 2789, 3100, 2611]}"
-54.554,-10.3749,Pasture,2013-09-14,2014-08-29,mod13q1-6.1,"{""Index"": [""2013-09-14"", ""2013-09-30"", ""2013-10-16"", ""2013-11-01"", ""2013-11-17"", ""2013-12-03"", ""2013-12-19"", ""2014-01-01"", ""2014-01-17"", ""2014-02-02"", ""2014-02-18"", ""2014-03-06"", ""2014-03-22"", ""2014-04-07"", ""2014-04-23"", ""2014-05-09"", ""2014-05-25"", ""2014-06-10"", ""2014-06-26"", ""2014-07-12"", ""2014-07-28"", ""2014-08-13"", ""2014-08-29""], ""NDVI"": [5975, 4610, 4253, 4203, 4937, 5505, 5974, 7468, 6639, 5851, 7315, 7573, 7067, 7394, 7449, 5450, 7111, 7611, 7360, 7687, 6836, 6470, 6304], ""EVI"": [3439, 2472, 2335, 2551, 2936, 3206, 4328, 4964, 5351, 3745, 4841, 4615, 5657, 4143, 6281, 4267, 5586, 4801, 4998, 3742, 4087, 3824, 3395], ""NIR_reflectance"": [3052, 3248, 3061, 3228, 3325, 3253, 3904, 3904, 3475, 5190, 3992, 4568, 3415, 5095, 3905, 3476, 3093, 3112, 2765, 2894, 2413, 2706, 2926]}"
-52.4572,-10.9512,Pasture,2013-09-14,2014-08-29,mod13q1-6.1,"{""Index"": [""2013-09-14"", ""2013-09-30"", ""2013-10-16"", ""2013-11-01"", ""2013-11-17"", ""2013-12-03"", ""2013-12-19"", ""2014-01-01"", ""2014-01-17"", ""2014-02-02"", ""2014-02-18"", ""2014-03-06"", ""2014-03-22"", ""2014-04-07"", ""2014-04-23"", ""2014-05-09"", ""2014-05-25"", ""2014-06-10"", ""2014-06-26"", ""2014-07-12"", ""2014-07-28"", ""2014-08-13"", ""2014-08-29""], ""NDVI"": [4858, 4550, 3998, 3770, 4287, 5097, 5252, 5369, 5738, 7220, 6222, 6706, 6387, 6549, 4771, 7324, 6776, 7409, 7134, 6750, 6364, 5760, 5363], ""EVI"": [2982, 2522, 2222, 2286, 2402, 2495, 3472, 3541, 3804, 3425, 4455, 4699, 4779, 5262, 4126, 4308, 5216, 4800, 4568, 4244, 3951, 3357, 3115], ""NIR_reflectance"": [2431, 3641, 2591, 2746, 3596, 2547, 3816, 3486, 3660, 3473, 6023, 3685, 3415, 3710, 3253, 2978, 2734, 3006, 2839, 2968, 2625, 2470, 2949]}"
-52.1443,-13.9981,Pasture,2013-09-14,2014-08-29,mod13q1-6.1,"{""Index"": [""2013-09-14"", ""2013-09-30"", ""2013-10-16"", ""2013-11-01"", ""2013-11-17"", ""2013-12-03"", ""2013-12-19"", ""2014-01-01"", ""2014-01-17"", ""2014-02-02"", ""2014-02-18"", ""2014-03-06"", ""2014-03-22"", ""2014-04-07"", ""2014-04-23"", ""2014-05-09"", ""2014-05-25"", ""2014-06-10"", ""2014-06-26"", ""2014-07-12"", ""2014-07-28"", ""2014-08-13"", ""2014-08-29""], ""NDVI"": [3868, 3567, 3908, 3232, 3413, 4438, 4169, 4487, 4639, 5110, 5839, 6068, 5379, 5788, 6038, 6240, 6660, 4211, 6736, 6201, 5665, 5072, 4645], ""EVI"": [2097, 2050, 2224, 2093, 2052, 2403, 2578, 2831, 3062, 4276, 4010, 3443, 3615, 3341, 3614, 3490, 4487, 2767, 4121, 3468, 3229, 2804, 2691], ""NIR_reflectance"": [2562, 3003, 2938, 2612, 2860, 2961, 3105, 3105, 2783, 4272, 3080, 2627, 3132, 2904, 2886, 2774, 2638, 2473, 2409, 2443, 2605, 2539, 2884]}"
-57.6907,-13.3382,Pasture,2015-09-14,2016-08-28,mod13q1-6.1,"{""Index"": [""2015-09-14"", ""2015-09-30"", ""2015-10-16"", ""2015-11-01"", ""2015-11-17"", ""2015-12-03"", ""2015-12-19"", ""2016-01-01"", ""2016-01-17"", ""2016-02-02"", ""2016-02-18"", ""2016-03-05"", ""2016-03-21"", ""2016-04-06"", ""2016-04-22"", ""2016-05-08"", ""2016-05-24"", ""2016-06-09"", ""2016-06-25"", ""2016-07-11"", ""2016-07-27"", ""2016-08-12"", ""2016-08-28""], ""NDVI"": [3182, 3007, 2982, 2931, 3106, 3746, 4039, 3926, 4768, 6032, 6517, 7282, 4698, 4080, 4702, 7133, 6978, 6586, 5590, 5711, 5484, 4560, 3943], ""EVI"": [1768, 1739, 1821, 1686, 1979, 2371, 2763, 3087, 2959, 3889, 4240, 5095, 2669, 3390, 3018, 5599, 4838, 4089, 3608, 3328, 3408, 2643, 2260], ""NIR_reflectance"": [2836, 2621, 3408, 3020, 2390, 2824, 3480, 3583, 4422, 3072, 3924, 2874, 2112, 3469, 3038, 3336, 2493, 2270, 2223, 2363, 2651, 2860, 2543]}"
-54.7034,-16.4265,Pasture,2015-09-14,2016-08-28,mod13q1-6.1,"{""Index"": [""2015-09-14"", ""2015-09-30"", ""2015-10-16"", ""2015-11-01"", ""2015-11-17"", ""2015-12-03"", ""2015-12-19"", ""2016-01-01"", ""2016-01-17"", ""2016-02-02"", ""2016-02-18"", ""2016-03-05"", ""2016-03-21"", ""2016-04-06"", ""2016-04-22"", ""2016-05-08"", ""2016-05-24"", ""2016-06-09"", ""2016-06-25"", ""2016-07-11"", ""2016-07-27"", ""2016-08-12"", ""2016-08-28""], ""NDVI"": [2937, 2894, 2671, 2427, 2549, 2688, 3862, 4163, 4399, 4929, 6939, 7021, 5540, 6631, 6306, 6825, 6908, 6890, 6821, 6532, 6593, 6453, 5433], ""EVI"": [1548, 1653, 1488, 1312, 1471, 1635, 2365, 2962, 2407, 3896, 3946, 6055, 4681, 3912, 3388, 4911, 4906, 4362, 4346, 3691, 4146, 3986, 3289], ""NIR_reflectance"": [2486, 2601, 2502, 2486, 2476, 3042, 2703, 4404, 3150, 4293, 3897, 3073, 3603, 2802, 2759, 2195, 2345, 2050, 2100, 2202, 2575, 2459, 2388]}"
-53.6543,-15.7155,Pasture,2014-09-14,2015-08-29,mod13q1-6.1,"{""Index"": [""2014-09-14"", ""2014-09-30"", ""2014-10-16"", ""2014-11-01"", ""2014-11-17"", ""2014-12-03"", ""2014-12-19"", ""2015-01-01"", ""2015-01-17"", ""2015-02-02"", ""2015-02-18"", ""2015-03-06"", ""2015-03-22"", ""2015-04-07"", ""2015-04-23"", ""2015-05-09"", ""2015-05-25"", ""2015-06-10"", ""2015-06-26"", ""2015-07-12"", ""2015-07-28"", ""2015-08-13"", ""2015-08-29""], ""NDVI"": [5141, 4504, 3946, 3624, 3759, 3991, 4142, 4590, 5381, 5966, 6695, 2212, 7008, 5759, 5577, 6434, 5987, 5795, 5526, 4877, 5475, 5399, 4716], ""EVI"": [2693, 2229, 2190, 2092, 2088, 2384, 2405, 2377, 3497, 2951, 3424, 1785, 4906, 4287, 3540, 3221, 3319, 3126, 2881, 2833, 2817, 2782, 2399], ""NIR_reflectance"": [2634, 2458, 2943, 2558, 3429, 2815, 2373, 3558, 3269, 2080, 2465, 2634, 1223, 3473, 3139, 2495, 2582, 2326, 1609, 2306, 1977, 2417, 2496]}"
-56.7898,-11.4209,Pasture,2011-09-14,2012-08-28,mod13q1-6.1,"{""Index"": [""2011-09-14"", ""2011-09-30"", ""2011-10-16"", ""2011-11-01"", ""2011-11-17"", ""2011-12-03"", ""2011-12-19"", ""2012-01-01"", ""2012-01-17"", ""2012-02-02"", ""2012-02-18"", ""2012-03-05"", ""2012-03-21"", ""2012-04-06"", ""2012-04-22"", ""2012-05-08"", ""2012-05-24"", ""2012-06-09"", ""2012-06-25"", ""2012-07-11"", ""2012-07-27"", ""2012-08-12"", ""2012-08-28""], ""NDVI"": [4807, 4231, 3567, 3372, 3198, 4767, 4291, 5328, 2833, 7365, 6733, 6733, 7262, 6858, 7154, 6978, 7825, 8040, 7264, 6976, 6662, 5868, 4797], ""EVI"": [2895, 2372, 2074, 2061, 1811, 3193, 2884, 3367, 2263, 4356, 4873, 4873, 3950, 5666, 5929, 5994, 5419, 5847, 5000, 4569, 4391, 3600, 2648], ""NIR_reflectance"": [2444, 1856, 3800, 2665, 3560, 3292, 3544, 4408, 3182, 5459, 3422, 3808, 4027, 3822, 3834, 3818, 3301, 3198, 2969, 2786, 2578, 2662, 2990]}"
-55.0254,-10.0669,Pasture,2013-09-14,2014-08-29,mod13q1-6.1,"{""Index"": [""2013-09-14"", ""2013-09-30"", ""2013-10-16"", ""2013-11-01"", ""2013-11-17"", ""2013-12-03"", ""2013-12-19"", ""2014-01-01"", ""2014-01-17"", ""2014-02-02"", ""2014-02-18"", ""2014-03-06"", ""2014-03-22"", ""2014-04-07"", ""2014-04-23"", ""2014-05-09"", ""2014-05-25"", ""2014-06-10"", ""2014-06-26"", ""2014-07-12"", ""2014-07-28"", ""2014-08-13"", ""2014-08-29""], ""NDVI"": [4825, 4094, 3756, 3773, 4035, 4848, 5683, 5509, 6117, 4770, 6722, 7855, 6759, 7837, 8058, 4657, 7214, 7703, 6839, 6697, 6354, 5796, 5528], ""EVI"": [3134, 2249, 2127, 2158, 1953, 2770, 2733, 3711, 4466, 3381, 4830, 4952, 5231, 4965, 5167, 3326, 5415, 4922, 4611, 4088, 3843, 3470, 2908], ""NIR_reflectance"": [3045, 2946, 3997, 2674, 3394, 2999, 3053, 4305, 4151, 5137, 3048, 3099, 3599, 4168, 3828, 3414, 2972, 2821, 2615, 3040, 2458, 2525, 2522]}"
-55.2219,-15.6638,Pasture,2015-09-14,2016-08-28,mod13q1-6.1,"{""Index"": [""2015-09-14"", ""2015-09-30"", ""2015-10-16"", ""2015-11-01"", ""2015-11-17"", ""2015-12-03"", ""2015-12-19"", ""2016-01-01"", ""2016-01-17"", ""2016-02-02"", ""2016-02-18"", ""2016-03-05"", ""2016-03-21"", ""2016-04-06"", ""2016-04-22"", ""2016-05-08"", ""2016-05-24"", ""2016-06-09"", ""2016-06-25"", ""2016-07-11"", ""2016-07-27"", ""2016-08-12"", ""2016-08-28""], ""NDVI"": [3518, 2975, 3100, 3927, 2705, 2927, 2432, 2635, 2670, 3277, 5466, 5642, 6172, 7627, 8717, 7719, 7331, 6727, 7344, 7446, 7319, 6847, 6084], ""EVI"": [2247, 1871, 1920, 2538, 1523, 1545, 1413, 1702, 1266, 2597, 3570, 4454, 4984, 3987, 7067, 6633, 5860, 4111, 4614, 5423, 4835, 4518, 4118], ""NIR_reflectance"": [2938, 2515, 3459, 3753, 3257, 4385, 4436, 4130, 4558, 4089, 3179, 2947, 3378, 3096, 3304, 2817, 3091, 2858, 2831, 2868, 2915, 2928, 3229]}"
